,Unnamed: 0,suburb,postcode,p_type,median_sell,avg_days_on_market,clearance,n_sold,h_range,l_range,median_rent,2022_median,2022_growth,2022_n_sold,2021_median,2021_growth,2021_n_sold,2020_median,2020_growth,2020_n_sold,2019_median,2019_growth,2019_n_sold,2018_median,2018_growth,2018_n_sold
2375,port-fairy,3284, 2_house,-,-,-,10,,,,N/A,-,10,$595k,9.2%,15,$545k,12.4%,21,$485k,2.1%,13,$475k,25%,17,
2376,port-fairy,3284, 3_house,$930k,76 days,-,39,2.125m,565k,450,$930k,17%,39,$795k,21.6%,60,$654k,17.8%,56,$555k,-8.3%,60,$605k,28.7%,50,
2377,port-fairy,3284, 4_house,$1.25m,235 days,-,24,3.736m,965k,,$1.25m,43.2%,24,$873k,33.7%,28,$653k,-13.2%,25,$752k,17.5%,17,$640k,-6.3%,21,
2378,port-fairy,3284, 5_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2379,codrington,3285, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2380,codrington,3285, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2381,codrington,3285, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2382,narrawong,3285, 3_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2383,narrawong,3285, 4_house,-,-,-,6,,,,,,,,,,,,,,,,,,,
2384,narrawong,3285, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2385,rosebrook,3285, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2386,rosebrook,3285, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2387,yambuk,3285, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2388,yambuk,3285, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2389,yambuk,3285, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2390,macarthur,3286, 2_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2391,macarthur,3286, 3_house,-,-,-,7,,,,,,,,,,,,,,,,,,,
2392,hawkesdale,3287, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2393,hawkesdale,3287, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2394,penshurst,3289, 2_house,-,-,-,7,,,,,,,,,,,,,,,,,,,
2395,penshurst,3289, 3_house,-,-,-,5,,,,,,,,,,,,,,,,,,,
2396,nelson,3292, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2397,nelson,3292, 3_house,-,-,-,7,,,,,,,,,,,,,,,,,,,
2398,nelson,3292, 4_house,-,-,-,5,,,,,,,,,,,,,,,,,,,
2399,nelson,3292, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2400,glenthompson,3293, 3_house,-,-,-,6,,,,,,,,,,,,,,,,,,,
2401,glenthompson,3293, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2402,dunkeld,3294, 2_house,-,-,-,4,,,,,,,,,,,,,,,,,,,
2403,dunkeld,3294, 3_house,-,-,-,6,,,,,,,,,,,,,,,,,,,
2404,dunkeld,3294, 4_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2405,dunkeld,3294, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2406,hamilton,3300, 2_house,$284k,68 days,-,19,530k,142k,280,$284k,26.2%,19,$225k,-8.5%,33,$246k,34.4%,16,$183k,10.9%,10,$165k,-1.8%,17,
2407,hamilton,3300, 3_house,$350k,42 days,-,154,675k,220k,350,$350k,20.7%,154,$290k,18.4%,200,$245k,11.4%,126,$220k,-4.3%,133,$230k,4.5%,147,
2408,hamilton,3300, 4_house,$510k,38 days,-,72,1.07m,280k,400,$510k,21.4%,72,$420k,5%,89,$400k,12.7%,55,$355k,10.9%,59,$320k,7.4%,73,
2409,hamilton,3300, 5_house,-,-,-,9,,,,,,,,,,,,,,,,,,,
2410,hamilton,3300, 1_unit,-,-,-,1,,,,,,,,,,,,,,,,,,,
2411,hamilton,3300, 2_unit,$294k,-,-,10,385k,140k,270,$294k,22.5%,10,$240k,-,10,N/A,-,9,N/A,-,5,N/A,-,1,
2412,hamilton,3300, 3_unit,-,-,-,1,,,,,,,,,,,,,,,,,,,
2413,tarrington,3301, 4_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2414,branxholme,3302, 3_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2415,branxholme,3302, 4_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2416,bessiebelle,3304, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2417,dartmoor,3304, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2418,dartmoor,3304, 3_house,-,-,-,7,,,,,,,,,,,,,,,,,,,
2419,dartmoor,3304, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2420,heywood,3304, 2_house,-,-,-,7,,,,,,,,,,,,,,,,,,,
2421,heywood,3304, 3_house,$292k,61 days,-,24,542k,200k,,$292k,22.2%,24,$239k,8.1%,24,$221k,10%,21,$201k,5.8%,17,$190k,-2.1%,17,
2422,heywood,3304, 4_house,-,-,-,6,,,,,,,,,,,,,,,,,,,
2423,heywood,3304, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2424,heywood,3304, 2_unit,-,-,-,2,,,,,,,,,,,,,,,,,,,
2425,heywood,3304, 3_unit,-,-,-,1,,,,,,,,,,,,,,,,,,,
2426,milltown,3304, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2427,mumbannar,3304, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2428,mumbannar,3304, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2429,myamyn,3304, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2430,myamyn,3304, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2431,allestree,3305, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2432,bolwarra,3305, 3_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2433,bolwarra,3305, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2434,cape-bridgewater,3305, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2435,cape-bridgewater,3305, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2436,cape-bridgewater,3305, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2437,cashmore,3305, 3_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2438,cashmore,3305, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2439,dutton-way,3305, 2_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2440,dutton-way,3305, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2441,dutton-way,3305, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2442,gorae,3305, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2443,heathmere,3305, 3_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2444,heathmere,3305, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2445,heathmere,3305, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2446,portland-north,3305, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2447,portland-north,3305, 3_house,-,-,-,4,,,,,,,,,,,,,,,,,,,
2448,portland-north,3305, 4_house,-,-,-,5,,,,,,,,,,,,,,,,,,,
2449,portland-north,3305, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2450,portland-west,3305, 3_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2451,portland-west,3305, 4_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2452,portland-west,3305, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2453,digby,3309, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2454,casterton,3311, 2_house,-,-,-,4,,,,,,,,,,,,,,,,,,,
2455,casterton,3311, 3_house,$215k,53 days,-,18,445k,35k,,$215k,9.7%,18,$196k,-6.7%,36,$210k,-,13,N/A,-,6,$190k,5.6%,16,
2456,casterton,3311, 4_house,-,-,-,8,,,,,,,,,,,,,,,,,,,
2457,casterton,3311, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2458,cavendish,3314, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2459,cavendish,3314, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2460,cavendish,3314, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2461,coleraine,3315, 2_house,-,-,-,5,,,,,,,,,,,,,,,,,,,
2462,coleraine,3315, 3_house,$255k,-,-,13,340k,132k,,$255k,45.7%,13,$175k,-,17,N/A,-,6,N/A,-,9,N/A,-,9,
2463,coleraine,3315, 4_house,-,-,-,4,,,,,,,,,,,,,,,,,,,
2464,coleraine,3315, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2465,edenhope,3318, 2_house,-,-,-,5,,,,,,,,,,,,,,,,,,,
2466,edenhope,3318, 3_house,$213k,67 days,-,20,390k,98k,,$213k,4.9%,20,$203k,-,19,N/A,-,9,$207k,-,13,N/A,-,5,
2467,edenhope,3318, 4_house,-,-,-,7,,,,,,,,,,,,,,,,,,,
2468,edenhope,3318, 5_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2469,edenhope,3318, 2_unit,-,-,-,1,,,,,,,,,,,,,,,,,,,
2470,kadnook,3318, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2471,langkoop,3318, 3_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2472,inverleigh,3321, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2473,inverleigh,3321, 3_house,-,-,-,8,,,,,,,,,,,,,,,,,,,
2474,inverleigh,3321, 4_house,$1.275m,-,-,12,1.58m,790k,,$1.275m,-,12,N/A,-,9,N/A,-,7,N/A,-,3,N/A,-,9,
2475,cressy,3322, 2_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2476,cressy,3322, 3_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2477,cressy,3322, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2478,cressy,3322, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2479,lismore,3324, 2_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2480,lismore,3324, 3_house,$278k,-,-,14,395k,100k,,$278k,36.9%,14,$203k,-,10,N/A,-,5,,,,N/A,-,6,
2481,lismore,3324, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2482,lismore,3324, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2483,teesdale,3328, 3_house,$813k,29 days,-,16,1.25m,660k,,$813k,18.9%,16,$684k,15.9%,20,$590k,4.8%,11,$563k,13.1%,18,$498k,13.2%,11,
2484,teesdale,3328, 4_house,$973k,36 days,-,16,1.4m,726k,,$973k,12.4%,16,$866k,20.3%,11,$720k,-1.4%,19,$730k,-,10,N/A,-,8,
2485,teesdale,3328, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2486,shelford,3329, 3_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2487,shelford,3329, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2488,rokewood,3330, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2489,rokewood,3330, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2490,rokewood,3330, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2491,rokewood,3330, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2492,bannockburn,3331, 3_house,$691k,33 days,-,52,1.17m,585k,433,$691k,15.2%,52,$600k,16.5%,42,$515k,3%,47,$500k,5.3%,45,$475k,20.3%,51,
2493,bannockburn,3331, 4_house,$780k,38 days,-,52,1.57m,640k,500,$780k,17.8%,52,$662k,6.8%,68,$620k,8.8%,62,$570k,4.6%,47,$545k,21.1%,55,
2494,bannockburn,3331, 5_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2495,bannockburn,3331, 2_unit,-,-,-,2,,,,,,,,,,,,,,,,,,,
2496,lethbridge,3332, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2497,lethbridge,3332, 3_house,$760k,-,-,10,1.425m,620k,,$760k,-,10,N/A,-,8,N/A,-,5,N/A,-,9,$451k,-,10,
2498,lethbridge,3332, 4_house,-,-,-,6,,,,,,,,,,,,,,,,,,,
2499,lethbridge,3332, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2500,meredith,3333, 2_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2501,meredith,3333, 3_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2502,meredith,3333, 4_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2503,meredith,3333, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2504,bonnie-brook,3335, 3_house,-,-,-,4,,,,,,,,,,,,,,,,,,,
2505,bonnie-brook,3335, 4_house,-,-,-,7,,,,,,,,,,,,,,,,,,,
2506,plumpton,3335, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2507,rockbank,3335, 2_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2508,rockbank,3335, 3_house,$539k,79 days,-,36,640k,465k,370,$539k,15.9%,36,$465k,-0.4%,39,$467k,-6.6%,11,$500k,-0.6%,15,$503k,17%,27,
2509,rockbank,3335, 4_house,$643k,80 days,44%,51,840k,560k,410,$643k,11.2%,51,$578k,-,27,N/A,-,3,$588k,1.4%,14,$580k,-5.1%,19,
2510,rockbank,3335, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2511,thornhill-park,3335, 3_house,$497k,157 days,-,50,683k,395k,360,$497k,11.7%,50,$445k,-,45,N/A,-,9,N/A,-,4,N/A,-,3,
2512,thornhill-park,3335, 4_house,$630k,47 days,-,75,822k,500k,390,$630k,8.6%,75,$580k,5.5%,69,$550k,2.8%,45,$535k,-,19,N/A,-,6,
2513,thornhill-park,3335, 5_house,-,-,-,6,,,,,,,,,,,,,,,,,,,
2514,aintree,3336, 2_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2515,aintree,3336, 3_house,$606k,36 days,-,28,740k,500k,410,$606k,10.2%,28,$550k,19%,32,$462k,-5.9%,34,$491k,3.4%,29,$475k,-,25,
2516,aintree,3336, 4_house,$760k,36 days,40%,98,1.1m,635k,443,$760k,9.4%,98,$695k,9.8%,121,$633k,7.3%,100,$590k,-1.7%,54,$600k,-,16,
2517,aintree,3336, 5_house,$1.011m,31 days,-,17,1.339m,600k,550,$1.011m,18.7%,17,$852k,-,14,N/A,-,9,N/A,-,1,N/A,-,,
2518,deanside,3336, 2_house,-,-,-,4,,,,,,,,,,,,,,,,,,,
2519,deanside,3336, 3_house,$558k,77 days,-,45,670k,447k,400,$558k,18.5%,45,$471k,-,21,N/A,-,1,N/A,-,8,N/A,-,7,
2520,deanside,3336, 4_house,$645k,80 days,-,63,800k,571k,450,$645k,110.1%,63,$307k,-,31,,,,,,,N/A,-,1,
2521,fraser-rise,3336, 2_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2522,fraser-rise,3336, 3_house,$635k,35 days,69%,83,770k,316k,420,$635k,8.5%,83,$585k,3.5%,61,$565k,2.7%,42,$550k,-3.5%,55,$570k,4.6%,56,
2523,fraser-rise,3336, 4_house,$740k,47 days,40%,129,955k,386k,465,$740k,10.3%,129,$671k,4.4%,87,$643k,5.1%,60,$612k,-5.6%,49,$648k,-,30,
2524,fraser-rise,3336, 5_house,-,-,-,6,,,,,,,,,,,,,,,,,,,
2525,fraser-rise,3336, 3_unit,-,-,-,2,,,,,,,,,,,,,,,,,,,
2526,harkness,3337, 2_house,-,-,-,8,,,,,,,,,,,,,,,,,,,
2527,harkness,3337, 3_house,$515k,32 days,-,115,670k,421k,345,$515k,15.2%,115,$447k,8%,86,$414k,-2.6%,80,$425k,-,91,$425k,15.5%,120,
2528,harkness,3337, 4_house,$610k,48 days,-,143,760k,500k,385,$610k,14%,143,$535k,7.4%,145,$498k,-0.4%,127,$500k,-1%,95,$505k,21.7%,120,
2529,harkness,3337, 5_house,$675k,26 days,-,12,860k,600k,,$675k,-,12,N/A,-,6,$537k,1.7%,19,$528k,-3.1%,19,$545k,-,15,
2530,harkness,3337, 2_unit,-,-,-,8,,,,,,,,,,,,,,,,,,,
2531,harkness,3337, 3_unit,$420k,44 days,-,12,465k,380k,345,$420k,9.7%,12,$383k,9.4%,18,$350k,7.7%,13,$325k,-,11,N/A,-,6,
2532,kurunjang,3337, 2_house,-,-,-,7,,,,,,,,,,,,,,,,,,,
2533,kurunjang,3337, 3_house,$490k,42 days,50%,121,628k,412k,335,$490k,16.7%,121,$420k,2.7%,107,$409k,4.6%,84,$391k,-5.1%,73,$412k,28.7%,135,
2534,kurunjang,3337, 4_house,$599k,44 days,-,113,1.19m,440k,375,$599k,17.5%,113,$510k,9.7%,83,$465k,-1.1%,74,$470k,-6.9%,68,$505k,31.2%,97,
2535,kurunjang,3337, 5_house,$860k,44 days,-,23,1.325m,545k,,$860k,-,23,N/A,-,9,N/A,-,9,$500k,-38.7%,12,$815k,38.4%,13,
2536,melton,3337, 2_house,$405k,23 days,-,15,540k,305k,285,$405k,-,15,N/A,-,8,N/A,-,5,N/A,-,8,N/A,-,3,
2537,melton,3337, 3_house,$490k,36 days,42%,148,680k,395k,328,$490k,14.8%,148,$427k,11.8%,107,$382k,-0.8%,89,$385k,-5.4%,105,$407k,26%,174,
2538,melton,3337, 4_house,$507k,35 days,42%,39,630k,392k,360,$507k,16%,39,$437k,-1.8%,34,$445k,2.5%,29,$434k,-2%,28,$443k,8.8%,40,
2539,melton,3337, 5_house,-,-,-,7,,,,,,,,,,,,,,,,,,,
2540,melton,3337, 2_unit,$335k,85 days,-,11,379k,257k,300,$335k,4.4%,11,$321k,10.7%,11,$290k,-,19,N/A,-,8,$310k,37.2%,23,
2541,melton,3337, 3_unit,$381k,80 days,-,16,460k,312k,320,$381k,-,16,N/A,-,8,$320k,3.2%,13,$310k,-,11,N/A,-,7,
2542,melton-west,3337, 2_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2543,melton-west,3337, 3_house,$512k,40 days,53%,110,616k,400k,340,$512k,13.8%,110,$450k,10.3%,80,$408k,-0.5%,70,$410k,-5.1%,76,$432k,26.3%,117,
2544,melton-west,3337, 4_house,$600k,43 days,50%,99,730k,460k,380,$600k,13.2%,99,$530k,8.4%,89,$489k,-2.2%,62,$500k,4.2%,60,$480k,17.1%,137,
2545,melton-west,3337, 5_house,$675k,38 days,-,17,900k,588k,,$675k,12.5%,17,$600k,-,15,N/A,-,9,$495k,-7.5%,12,$535k,10.5%,17,
2546,melton-west,3337, 2_unit,-,-,-,2,,,,,,,,,,,,,,,,,,,
2547,melton-west,3337, 3_unit,-,-,-,6,,,,,,,,,,,,,,,,,,,
2548,toolern-vale,3337, 3_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2549,toolern-vale,3337, 4_house,-,-,-,6,,,,,,,,,,,,,,,,,,,
2550,toolern-vale,3337, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2551,brookfield,3338, 2_house,-,-,-,4,,,,,,,,,,,,,,,,,,,
2552,brookfield,3338, 3_house,$518k,23 days,-,61,671k,428k,340,$518k,10.7%,61,$468k,14.1%,45,$410k,-1.2%,44,$415k,-5.7%,39,$440k,22.2%,72,
2553,brookfield,3338, 4_house,$585k,33 days,-,166,825k,485k,370,$585k,9.6%,166,$534k,7%,124,$499k,7.3%,109,$465k,-5.7%,84,$493k,23.3%,122,
2554,brookfield,3338, 5_house,$700k,59 days,-,12,1.35m,525k,,$700k,14.8%,12,$610k,10.9%,16,$550k,-,23,$550k,3.8%,23,$530k,11.1%,21,
2555,brookfield,3338, 3_unit,-,-,-,3,,,,,,,,,,,,,,,,,,,
2556,cobblebank,3338, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2557,cobblebank,3338, 3_house,$493k,39 days,-,20,640k,309k,355,$493k,13.1%,20,$436k,2.6%,16,$425k,-1.4%,15,$431k,-,10,N/A,-,5,
2558,cobblebank,3338, 4_house,$643k,36 days,-,64,765k,493k,390,$643k,14.2%,64,$563k,9.3%,60,$515k,6.6%,29,$483k,-5.5%,28,$511k,-,10,
2559,cobblebank,3338, 5_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2560,exford,3338, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2561,exford,3338, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2562,eynesbury,3338, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2563,eynesbury,3338, 3_house,$540k,51 days,-,19,740k,475k,400,$540k,5.9%,19,$510k,1.2%,15,$504k,-1.9%,18,$514k,6.6%,12,$482k,25.2%,18,
2564,eynesbury,3338, 4_house,$730k,52 days,-,37,920k,600k,450,$730k,7.4%,37,$680k,11.7%,42,$609k,10.7%,35,$550k,-4.8%,33,$578k,14.5%,46,
2565,eynesbury,3338, 5_house,-,-,-,6,,,,,,,,,,,,,,,,,,,
2566,melton-south,3338, 2_house,$368k,46 days,-,17,600k,300k,283,$368k,1.4%,17,$363k,16%,18,$313k,3%,12,$304k,-7.9%,11,$330k,31.5%,17,
2567,melton-south,3338, 3_house,$486k,43 days,61%,178,605k,398k,330,$486k,15.7%,178,$420k,9.9%,164,$382k,-2.1%,102,$390k,-4.9%,115,$410k,32.3%,202,
2568,melton-south,3338, 4_house,$595k,47 days,63%,104,682k,436k,370,$595k,20.4%,104,$494k,4%,80,$475k,3.7%,60,$458k,3.9%,58,$441k,18.5%,81,
2569,melton-south,3338, 5_house,$562k,-,-,11,730k,450k,,$562k,5%,11,$535k,2.9%,16,$520k,5.1%,15,$495k,-,11,$495k,-,16,
2570,melton-south,3338, 2_unit,$345k,55 days,-,22,380k,274k,285,$345k,11.3%,22,$310k,3.3%,23,$300k,4.2%,21,$288k,-4%,21,$300k,39.5%,12,
2571,melton-south,3338, 3_unit,$355k,32 days,-,14,443k,279k,310,$355k,-,14,N/A,-,8,N/A,-,8,N/A,-,9,$310k,22%,15,
2572,strathtulloh,3338, 3_house,$523k,15 days,-,23,678k,446k,353,$523k,-,23,N/A,-,9,$427k,-,12,N/A,-,5,N/A,-,7,
2573,strathtulloh,3338, 4_house,$640k,41 days,-,50,759k,540k,400,$640k,11.3%,50,$575k,6.5%,36,$540k,-,21,N/A,-,5,N/A,-,1,
2574,strathtulloh,3338, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2575,weir-views,3338, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2576,weir-views,3338, 3_house,$513k,77 days,-,34,653k,375k,358,$513k,8.5%,34,$473k,2.8%,28,$460k,-,13,N/A,-,8,$465k,19.2%,21,
2577,weir-views,3338, 4_house,$573k,48 days,-,106,670k,477k,385,$573k,11.5%,106,$514k,9.4%,84,$470k,3.3%,53,$455k,-,31,N/A,-,9,
2578,weir-views,3338, 5_house,-,-,-,6,,,,,,,,,,,,,,,,,,,
2579,bacchus-marsh,3340, 2_house,-,-,-,9,,,,,,,,,,,,,,,,,,,
2580,bacchus-marsh,3340, 3_house,$580k,34 days,-,99,920k,450k,390,$580k,5.5%,99,$550k,-,71,$550k,9.1%,47,$504k,10.8%,46,$455k,5.8%,64,
2581,bacchus-marsh,3340, 4_house,$725k,52 days,-,67,1.225m,509k,440,$725k,12.4%,67,$645k,10.3%,54,$585k,3.5%,31,$565k,4.6%,33,$540k,17.4%,35,
2582,bacchus-marsh,3340, 5_house,-,-,-,6,,,,,,,,,,,,,,,,,,,
2583,bacchus-marsh,3340, 1_unit,-,-,-,4,,,,,,,,,,,,,,,,,,,
2584,bacchus-marsh,3340, 2_unit,$411k,-,-,10,485k,329k,325,$411k,20.9%,10,$340k,-,14,N/A,-,8,N/A,-,9,$275k,1.5%,13,
2585,bacchus-marsh,3340, 3_unit,-,-,-,3,,,,,,,,,,,,,,,,,,,
2586,balliang,3340, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2587,balliang,3340, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2588,coimadai,3340, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2589,coimadai,3340, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2590,darley,3340, 2_house,-,-,-,6,,,,,,,,,,,,,,,,,,,
2591,darley,3340, 3_house,$565k,44 days,-,73,1m,420k,390,$565k,12.1%,73,$504k,-12.3%,74,$575k,13.2%,25,$508k,12.9%,31,$450k,-5.7%,49,
2592,darley,3340, 4_house,$779k,54 days,-,80,1.2m,544k,480,$779k,9.7%,80,$710k,10.9%,78,$640k,-1.2%,55,$648k,9.3%,63,$593k,18.6%,70,
2593,darley,3340, 5_house,-,-,-,9,,,,,,,,,,,,,,,,,,,
2594,darley,3340, 1_unit,-,-,-,1,,,,,,,,,,,,,,,,,,,
2595,darley,3340, 2_unit,-,-,-,1,,,,,,,,,,,,,,,,,,,
2596,darley,3340, 3_unit,$428k,56 days,-,14,550k,330k,,$428k,-,14,N/A,-,5,N/A,-,7,N/A,-,6,N/A,-,5,
2597,hopetoun-park,3340, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2598,hopetoun-park,3340, 3_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2599,hopetoun-park,3340, 4_house,-,-,-,5,,,,,,,,,,,,,,,,,,,
2600,hopetoun-park,3340, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2601,long-forest,3340, 3_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2602,long-forest,3340, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2603,long-forest,3340, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2604,maddingley,3340, 2_house,-,-,-,7,,,,,,,,,,,,,,,,,,,
2605,maddingley,3340, 3_house,$540k,45 days,-,51,732k,442k,400,$540k,6.7%,51,$506k,-2.7%,46,$520k,2%,15,$510k,12.6%,15,$453k,4.4%,28,
2606,maddingley,3340, 4_house,$640k,35 days,-,66,875k,530k,450,$640k,10.2%,66,$581k-0.3%522020$583k5%302019$555k,13%,,$583k,5%,30,$555k,13%,20,$491k,4.5%,36,
2607,maddingley,3340, 5_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2608,merrimu,3340, 3_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2609,merrimu,3340, 4_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2610,merrimu,3340, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2611,rowsley,3340, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2612,greendale,3341, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2613,greendale,3341, 3_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2614,greendale,3341, 4_house,-,-,-,6,,,,,,,,,,,,,,,,,,,
2615,greendale,3341, 5_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2616,myrniong,3341, 2_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2617,myrniong,3341, 3_house,-,-,-,2,,,,,,,,,,,,,,,,,,,
2618,myrniong,3341, 4_house,-,-,-,3,,,,,,,,,,,,,,,,,,,
2619,myrniong,3341, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,,
2620,ballan,3342, 2_house,-,-,-,8,,,,,,,,,,,,,,,,,,,
2621,ballan,3342, 3_house,$619k,99 days,-,29,1m,400k,400,$619k,25.1%,29,$495k,6.9%,49,$463k,2.7%,32,$451k,2.5%,31,$440k,15.8%,44,
